10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun
326,321,281,608,493,481,561,125,302,723,1108,1139,1529,603,1023,2289,1462,1680,1760,1849,2831,2851,2961,1519,2633,1140,1626,1478,1306,1607,2698
19,87,67,298,573,1142,1708,931,1362,1031,849,672,954,676,478,579,370,510,535,395,685,984,1579,1539,1489,650,653,2236,1937,2138,2225
0,16,16,0,0,8,0,1,1,0,17,101,182,0,2,0,0,0,127,6,1,0,0,3,0,1,1,0,0,60,53
,,,,,,,,,,,,76,36,44,56,79,85,33,33,37,36,30,42,77,257,337,31,127,91,39
,,,,,,,,,,,,,112,115,326,30,11,79,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,911,1654,1086,695,688,1047,1652,1889,1766,1361,874,693,786,599,678,584
,,,,,,,,,,,,,,,,,6,89,38,34,59,118,172,167,81,158,180,147,157,177
,,,,,,,,,,,,,,,,,,,7,9,16,16,26,19,8,15,23,22,15,208
,,,,,,,,,,,,,,,,,,,,100,150,450,800,900,1350,1450,1950,2100,2000,1800
,,,,,,,,,,,,,,,,,,,,,61,47,32,52,25,52,133,70,84,44
,,,,,,,,,,,,,,,,,,,,,,144,1259,971,338,334,494,411,450,455
,,,,,,,,,,,,,,,,,,,,,,,,,2,17,26,55,58,42
,,,,,,,,,,,,,,,,,,,,,,,,,,119,295,364,416,390
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
